Time resolution is 1 ps
Stim  A B C D | Y_a Y_b | Exp_a Exp_b
0 0 0 0 |  0   1 |   0    1
0 0 0 1 |  1   0 |   1    0
0 0 1 0 |  0   0 |   0    0
0 0 1 1 |  1   0 |   1    0
0 1 0 0 |  0   1 |   0    1
0 1 0 1 |  1   0 |   1    0
0 1 1 0 |  0   1 |   0    1
0 1 1 1 |  1   0 |   1    0
1 0 0 0 |  0   1 |   0    1
1 0 0 1 |  0   0 |   0    0
1 0 1 0 |  0   0 |   0    0
1 0 1 1 |  0   0 |   0    0
1 1 0 0 |  0   1 |   0    1
1 1 0 1 |  0   1 |   0    1
1 1 1 0 |  0   1 |   0    1
1 1 1 1 |  0   1 |   0    1
$finish called at time : 16 ns : File "C:/Users/be/Desktop/ece/Lab-05-Combinatorial-Logic/test.v" Line 46
